path,condition,folder,year,n_czi_files,acquired_by,cell_type,sex
../data/raw_data/young/20201218expY2H3K9me2_2,young,20201218expY2H3K9me2_2,2020,13,Microscopist 1,HSC,unknown
../data/raw_data/young/20240118exp_20240124_Y1ctrlH3K9me2488PLA2cy3,young,20240118exp_20240124_Y1ctrlH3K9me2488PLA2cy3,2024,12,Microscopist 1,HSC,unknown
../data/raw_data/young/20240118exp_20240129_Y2ctrlH3K9me2488PLA2cy3,young,20240118exp_20240129_Y2ctrlH3K9me2488PLA2cy3,2024,16,Microscopist 1,HSC,unknown
../data/raw_data/young/20240402exp_20240404Y1ctrlH3K9me2488PPLA2,young,20240402exp_20240404Y1ctrlH3K9me2488PPLA2,2024,15,Microscopist 1,HSC,unknown
../data/raw_data/young/20240402exp_20240407Y2ctrlH3K9me2488PPLA2,young,20240402exp_20240407Y2ctrlH3K9me2488PPLA2,2024,14,Microscopist 1,HSC,unknown
../data/raw_data/young/01FYBl6,young,01FYBl6,2024,27,Microscopist 2,HSC,F
../data/raw_data/young/02FYBl6,young,02FYBl6,2024,49,Microscopist 2,HSC,F
../data/raw_data/young/03FY19weeksBL6,young,03FY19weeksBL6,2024,49,Microscopist 2,HSC,F
../data/raw_data/young/03MYBL6,young,03MYBL6,2024,51,Microscopist 2,HSC,M
../data/raw_data/young/20241016exp_20241023_Y_DAPI,young,20241016exp_20241023_Y_DAPI,2024,11,Microscopist 1,HSC,unknown
../data/raw_data/young/20241016exp_20241024Y_DAPI,young,20241016exp_20241024Y_DAPI,2024,3,Microscopist 1,HSC,unknown
