,Z_res,X_res,Y_res,num_Zs,num_Xs,num_Ys,num_channels,path,condition,sigma_noise,pixel_sum,pixel_mean,pixel_max,pixel_min,folder,year,n_czi_files,acquired_by,cell_type,sex
18,0.440813408547905,0.0131788225549815,0.0131788225549815,15,1024,1024,2,../data/raw_data/aged/20191220PlaminSlide12Oldexp20191209/Image 39.czi,aged,6.01119437475047,271388590,17.2544218699137,255,0,20191220PlaminSlide12Oldexp20191209,2019,3,Microscopist 1,HSC,unknown
19,0.440813408547905,0.0131788225549815,0.0131788225549815,15,1024,1024,2,../data/raw_data/aged/20191220Stag2OldSlide8exp20191209/Image 6.czi,aged,5.82930856292921,336200339,21.3750418980916,255,0,20191220Stag2OldSlide8exp20191209,2019,4,Microscopist 1,HSC,unknown
20,0.440813408547905,0.0131788225549815,0.0131788225549815,17,1024,1024,2,../data/raw_data/aged/20191220Stag2OldSlide8exp20191209/Image 7.czi,aged,6.37839321874519,349121450,19.5851858924417,255,0,20191220Stag2OldSlide8exp20191209,2019,4,Microscopist 1,HSC,unknown
21,0.440813408547905,0.0131788225549815,0.0131788225549815,17,1024,1024,2,../data/raw_data/aged/20191220Stag2OldSlide8exp20191209/Image 8.czi,aged,6.26530469360905,353518800,19.8318705839269,255,0,20191220Stag2OldSlide8exp20191209,2019,4,Microscopist 1,HSC,unknown
22,0.440813408547905,0.0131788225549815,0.0131788225549815,15,1024,1024,2,../data/raw_data/aged/20191220Stag2OldSlide8exp20191209/Image 9.czi,aged,6.5192461358666,337127560,21.4339930216471,255,0,20191220Stag2OldSlide8exp20191209,2019,4,Microscopist 1,HSC,unknown
23,0.440813408547905,0.0131788225549815,0.0131788225549815,16,1024,1024,2,../data/raw_data/aged/20200130PlaminOld slide2exp200122/Image 22.czi,aged,3.9446565624667,165669024,9.87464332580566,255,0,20200130PlaminOld slide2exp200122,2020,6,Microscopist 1,HSC,unknown
24,0.440813408547905,0.0131788225549815,0.0131788225549815,15,1024,1024,2,../data/raw_data/aged/20200130PlaminOld slide2exp200122/Image 23.czi,aged,3.78171155785726,179982293,11.4429660161336,255,0,20200130PlaminOld slide2exp200122,2020,6,Microscopist 1,HSC,unknown
25,0.440813408547905,0.0131788225549815,0.0131788225549815,16,1024,1024,2,../data/raw_data/aged/20200130PlaminOld slide2exp200122/Image 24.czi,aged,3.95900013791355,181726813,10.8317621350288,255,0,20200130PlaminOld slide2exp200122,2020,6,Microscopist 1,HSC,unknown
26,0.440813408547905,0.0131788225549815,0.0131788225549815,15,1024,1024,2,../data/raw_data/aged/20200130PlaminOld slide2exp200122/Image 25.czi,aged,3.64917559570622,168096011,10.6872565587362,255,0,20200130PlaminOld slide2exp200122,2020,6,Microscopist 1,HSC,unknown
27,0.440813408547905,0.0131788225549815,0.0131788225549815,14,1024,1024,2,../data/raw_data/aged/20200130PlaminOld slide2exp200122/Image 26.czi,aged,4.01883365079584,172756738,11.7681188583374,255,0,20200130PlaminOld slide2exp200122,2020,6,Microscopist 1,HSC,unknown
28,0.440813408547905,0.0131788225549815,0.0131788225549815,16,1024,1024,2,../data/raw_data/aged/20200130PlaminOld slide2exp200122/Image 27.czi,aged,4.01362272575285,197534484,11.7739727497101,255,0,20200130PlaminOld slide2exp200122,2020,6,Microscopist 1,HSC,unknown
